poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
184,0.00497512437810945274,54760,54800,TRAIN,10045385,55780
123,0.00431034482758620690,4110,4100,BIKE,10008448,53900
163,0.00420168067226890756,2650,2600,TRAM,20211535,46000
231,0.00313479623824451411,1240,1200,FOOT,20040960,168400
139,0.00414937759336099585,1520,1500,FOOT,20219388,149710
152,0.01851851851851851852,2850,2800,TRAM,20195606,169340
163,0.00354609929078014184,2110,2100,TRAM,20273684,154700
83,0.00283286118980169972,1250,1200,CAR,20197800,361460
81,0.01428571428571428571,1090,1100,FOOT,20246133,114600
178,0.00312500000000000000,950,950,FOOT,20100055,92630
1,0.00348432055749128920,550,550,FOOT,20197370,32350
230,0.00278551532033426184,1080,1100,FOOT,20234761,31100
150,0.00406504065040650407,2040,2000,CAR,20265344,72840
31,0.00781250000000000000,13440,13400,CAR,20241929,82020
152,0.00384615384615384615,3220,3200,TRAM,10017422,97310
178,0.00320512820512820513,2780,2800,FOOT,10003973,61940
163,0.00303951367781155015,200,200,FOOT,20097541,26350
163,0.00303951367781155015,200,200,FOOT,20097541,26350
81,0.00450450450450450450,770,770,FOOT,10023068,86910
99,0.00436681222707423581,1790,1800,BIKE,20269647,77100
163,0.00352112676056338028,1490,1500,FOOT,20274164,119500
183,0.00531914893617021277,4170,4200,BIKE,20248853,126500
230,0.00280112044817927171,1250,1200,FOOT,20254160,36570
178,0.00925925925925925926,180,180,FOOT,20083331,34670
178,0.00925925925925925926,180,180,FOOT,20083331,34670
178,0.00602409638554216867,380,380,FOOT,20009853,54740
81,0.01785714285714285714,890,890,BIKE,20241727,100590
184,0.00724637681159420290,4000,4000,CAR,10076857,187770
265,0.00295857988165680473,2840,2800,TRAM,20266651,240570
110,0.00546448087431693989,10460,10500,CAR,20239304,182550
253,0.00787401574803149606,2060,2100,FOOT,20266463,43100
152,0.00287356321839080460,1480,1500,FOOT,20013639,32900
234,0.00275482093663911846,1310,1300,FOOT,20021063,65280
99,0.00436681222707423581,2460,2500,FOOT,20269647,72870
151,0.00333333333333333333,2300,2300,BIKE,20231169,17270
129,0.00305810397553516820,6560,6600,CAR,20231311,25760
163,0.00280112044817927171,2260,2300,BIKE,20016886,27080
31,0.01960784313725490196,13140,13100,CAR,20035880,179500
230,0.00348432055749128920,27620,27600,TRAIN,20275438,31000
178,0.00333333333333333333,930,930,FOOT,20222099,59660
163,0.00280112044817927171,760,760,FOOT,20016886,26870
163,0.00280112044817927171,2330,2300,UNKNOWN,20016886,26870
152,0.00284900284900284900,1560,1600,BIKE,20281672,37400
41,0.00276243093922651934,2070,2100,TRAM,20055398,39710
41,0.00735294117647058824,2470,2500,TRAM,20011498,103500
81,0.01785714285714285714,1040,1000,BIKE,20241727,46200
97,0.00292397660818713450,6830,6800,BIKE,20098318,117100
178,0.00425531914893617021,420,420,TRAM,10085569,42090
3,0.04166666666666666667,1350,1400,FOOT,20290841,51300
18,0.00371747211895910781,590,590,FOOT,20286969,24810
31,0.00900900900900900901,26450,26400,CAR,10026414,164540
81,0.01785714285714285714,960,960,BIKE,20241727,123560
230,0.00378787878787878788,1190,1200,FOOT,10055085,46900
163,0.00862068965517241379,2740,2700,FOOT,20262296,54700
230,0.00342465753424657534,104630,104600,TRAIN,20138303,165760
253,0.04347826086956521739,3210,3200,CAR,20270557,23200
259,0.00287356321839080460,1290,1300,FOOT,20013639,40900
230,0.00819672131147540984,47910,47900,TRAIN,20239609,51200
230,0.00352112676056338028,8290,8300,CAR,20235122,37480
59,0.01449275362318840580,1730,1700,FOOT,20208106,51800
178,0.01449275362318840580,1730,1700,FOOT,20208106,51800
3,0.00281690140845070423,3560,3600,BIKE,20188700,56180
160,0.00313479623824451411,600,600,FOOT,20268808,45780
123,0.00431034482758620690,460,460,FOOT,10008448,55330
150,0.00406504065040650407,340,340,FOOT,20265344,72840
150,0.00406504065040650407,340,340,FOOT,20265344,72840
178,0.00632911392405063291,1400,1400,FOOT,20289672,109260
230,0.00383141762452107280,260,260,FOOT,20044179,26030
41,0.00276243093922651934,2710,2700,BIKE,20055398,41910
31,0.00757575757575757576,850,850,FOOT,20251464,83250
31,0.00757575757575757576,850,850,FOOT,20251464,83250
230,0.00292397660818713450,104690,104700,TRAIN,20268509,107600
178,0.00343642611683848797,430,430,FOOT,10078538,35040
178,0.00303030303030303030,950,950,FOOT,10076197,44360
230,0.00574712643678160920,27930,27900,TRAIN,10055375,29960
