poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
29,0.00310559006211180124,8130,8100,TRAIN,20273454,62160
3,0.00534759358288770053,1080,1100,METRO,10064438,121700
63,0.00327868852459016393,6720,6700,BIKE,10020908,88700
53,0.00497512437810945274,10530,10500,TRAIN,20163766,13400
38,0.01785714285714285714,108440,108400,TRAIN,20241727,155270
31,0.00314465408805031447,1060,1100,FOOT,20036878,38410
29,0.00347222222222222222,103370,103400,TRAIN,10056161,103400
41,0.00293255131964809384,1660,1700,FOOT,10013840,26500
77,0.00341296928327645051,3270,3300,BIKE,20051183,87600
69,0.00338983050847457627,18970,19000,TRAIN,20018196,108700
29,0.00476190476190476190,45010,45000,TRAIN,10014799,46200
29,0.00476190476190476190,1210,1200,BIKE,10014799,46200
55,0.00495049504950495050,4140,4100,FOOT,10010288,16570
75,0.00671140939597315436,3760,3800,TRAM,10013688,18930
41,0.00315457413249211356,390,390,FOOT,10004691,53040
31,0.00314465408805031447,1490,1500,FOOT,20036878,40010
3,0.00409836065573770492,1490,1500,FOOT,20209113,50600
31,0.00617283950617283951,1080,1100,FOOT,10082998,19130
79,0.00409836065573770492,1040,1000,FOOT,20209113,78830
29,0.00342465753424657534,2790,2800,BIKE,20286569,86800
41,0.00531914893617021277,1920,1900,BIKE,20278784,60200
25,0.00289017341040462428,1730,1700,FOOT,20002235,33400
11,0.00500000000000000000,380,380,FOOT,20030281,23840
31,0.00304878048780487805,990,990,FOOT,10077881,44890
31,0.02127659574468085106,1080,1100,FOOT,20167920,36400
25,0.00296735905044510386,3540,3500,TRAM,20270170,41970
22,0.00429184549356223176,1030,1000,FOOT,20286563,38800
9,0.00460829493087557604,1100,1100,FOOT,10014181,25200
26,0.00787401574803149606,2060,2100,FOOT,20266463,43100
9,0.00473933649289099526,2410,2400,FOOT,20062579,55700
63,0.00290697674418604651,4660,4700,CAR,20065548,125200
73,0.00277777777777777778,8500,8500,TRAIN,20101178,163100
29,0.00277777777777777778,8500,8500,TRAIN,20101178,163100
73,0.00277777777777777778,10480,10500,TRAIN,20101178,163100
29,0.00277777777777777778,10480,10500,TRAIN,20101178,163100
29,0.00328947368421052632,8370,8400,TRAIN,10051771,8780
71,0.00310559006211180124,390,390,BIKE,20110232,60090
73,0.00434782608695652174,2300,2300,FOOT,20217471,65500
29,0.00434782608695652174,2300,2300,FOOT,20217471,65500
29,0.00440528634361233480,8200,8200,TRAIN,20241732,95200
77,0.01851851851851851852,510,510,FOOT,10004937,83410
31,0.00283286118980169972,1110,1100,FOOT,20276759,47800
41,0.00471698113207547170,900,900,FOOT,10014739,22700
75,0.00366300366300366300,300,300,FOOT,20042533,46450
47,0.00344827586206896552,2000,2000,FOOT,10045884,81400
31,0.00294985250737463127,830,830,FOOT,20224235,38830
77,0.00302114803625377644,3300,3300,BIKE,10006377,55400
77,0.00302114803625377644,1070,1100,FOOT,10006377,75370
49,0.00354609929078014184,2090,2100,TRAM,20273684,154020
11,0.00487804878048780488,1710,1700,FOOT,10014498,49670
59,0.00395256916996047431,29030,29000,TRAIN,20232830,44100
53,0.00321543408360128617,390,390,FOOT,10084763,14490
71,0.00310559006211180124,420,420,FOOT,20110232,52920
31,0.01136363636363636364,1080,1100,FOOT,20083056,26070
29,0.00406504065040650407,8390,8400,TRAIN,20265344,98800
73,0.00281690140845070423,2980,3000,BIKE,20188700,52140
29,0.00281690140845070423,2980,3000,BIKE,20188700,52140
31,0.00595238095238095238,1180,1200,FOOT,20294355,108200
77,0.00315457413249211356,3330,3300,BIKE,10004691,122200
31,0.00512820512820512821,1080,1100,FOOT,20252508,54000
77,0.00343642611683848797,590,590,FOOT,10083937,51690
31,0.00442477876106194690,1210,1200,FOOT,20010042,18400
73,0.00434782608695652174,2030,2000,FOOT,20217471,65300
29,0.00434782608695652174,2030,2000,FOOT,20217471,65300
29,0.00309597523219814241,8630,8600,CAR,10022819,74400
77,0.00471698113207547170,4040,4000,FOOT,10014739,112600
63,0.00290697674418604651,4550,4600,TRAM,20065548,122500
71,0.00595238095238095238,620,620,FOOT,20267258,16620
77,0.00299401197604790419,1580,1600,FOOT,20219338,139200
41,0.00285714285714285714,1500,1500,FOOT,20037144,72350
29,0.00296735905044510386,7860,7900,TRAIN,20105805,76280
47,0.01694915254237288136,2960,3000,BIKE,20237707,36560
41,0.00877192982456140351,930,930,FOOT,10015491,44330
75,0.00315457413249211356,3510,3500,TRAM,20129063,91200
77,0.00320512820512820513,3540,3500,BIKE,10003973,64500
44,0.00462962962962962963,1130,1100,FOOT,20073285,45800
55,0.00357142857142857143,3080,3100,TRAM,10041147,40700
31,0.00333333333333333333,1210,1200,FOOT,10023547,32390
53,0.00280112044817927171,390,390,FOOT,20128176,7790
53,0.00280112044817927171,7420,7400,TRAIN,20128176,7790
8,0.00358422939068100358,390,390,FOOT,20245424,13290
51,0.00833333333333333333,5050,5000,BIKE,20275622,34250
53,0.01234567901234567901,7450,7400,TRAIN,20076164,12600
77,0.00393700787401574803,730,730,FOOT,10037604,32130
75,0.00465116279069767442,3510,3500,BIKE,10014398,65900
22,0.00452488687782805430,790,790,FOOT,20080481,106090
29,0.00431034482758620690,3060,3100,BUS,20014980,36640
31,0.00510204081632653061,860,860,FOOT,10059948,109300
17,0.00465116279069767442,5770,5800,BUS,20063309,22700
41,0.00411522633744855967,14930,14900,UNKNOWN,20164544,95500
73,0.00418410041841004184,8650,8600,TRAIN,10054772,73330
29,0.00418410041841004184,8650,8600,TRAIN,10054772,73330
29,0.00291545189504373178,9230,9200,BIKE,10085506,73300
29,0.00440528634361233480,5020,5000,BIKE,20241732,333160
75,0.00970873786407766990,4410,4400,TRAM,10080234,126300
31,0.00512820512820512821,1150,1200,BIKE,20252508,45500
49,0.00645161290322580645,4450,4400,BIKE,20276287,25000
1,0.00277008310249307479,710,710,FOOT,20273346,27110
9,0.00578034682080924855,900,900,FOOT,10080582,16740
31,0.00283286118980169972,1280,1300,FOOT,20246323,82290
25,0.00311526479750778816,3010,3000,BIKE,20278519,65600
77,0.00471698113207547170,610,610,FOOT,10014739,159230
73,0.00526315789473684211,8390,8400,TRAIN,20173715,70490
29,0.00526315789473684211,8390,8400,TRAIN,20173715,70490
77,0.00299401197604790419,40940,40900,TRAIN,20270459,44770
29,0.00290697674418604651,11690,11700,TRAIN,20275780,30200
47,0.00833333333333333333,2170,2200,FOOT,10078564,31600
47,0.00307692307692307692,1310,1300,BIKE,20232520,26200
26,0.00671140939597315436,4200,4200,TRAM,10013688,19790
29,0.00490196078431372549,480,480,FOOT,20020993,123480
31,0.00413223140495867769,810,810,FOOT,20195439,36310
42,0.00632911392405063291,270,270,FOOT,20289672,79500
48,0.00632911392405063291,270,270,FOOT,20289672,79500
29,0.00632911392405063291,1490,1500,FOOT,20289672,37800
31,0.00571428571428571429,1230,1200,FOOT,20277640,50300
77,0.00400000000000000000,580,580,FOOT,20088242,60190
77,0.00400000000000000000,770,770,FOOT,20088242,60190
1,0.03448275862068965517,930,930,BIKE,20235073,53010
25,0.00520833333333333333,3250,3200,TRAM,10065817,23100
31,0.00740740740740740741,1020,1000,FOOT,20140027,54800
29,0.00283286118980169972,3460,3500,TRAIN,20197800,8200
31,0.00313479623824451411,1230,1200,FOOT,20130972,49110
75,0.00448430493273542601,2000,2000,TRAM,20028871,153600
63,0.00595238095238095238,160,160,FOOT,10082983,42430
29,0.00280898876404494382,8180,8200,CAR,20117366,101700
29,0.00448430493273542601,8490,8500,TRAIN,20276478,8500
11,0.00285714285714285714,1480,1500,CAR,20037144,35700
31,0.00568181818181818182,960,960,FOOT,20241256,102060
31,0.00401606425702811245,890,890,FOOT,10017661,33070
22,0.02564102564102564103,1700,1700,FOOT,20290863,40400
11,0.01851851851851851852,1760,1800,FOOT,10065666,39100
31,0.00273972602739726027,1130,1100,FOOT,20253113,31100
47,0.00628930817610062893,620,620,FOOT,20012559,140020
31,0.00413223140495867769,1100,1100,FOOT,20195439,39420
76,0.00338983050847457627,1000,1000,FOOT,20018196,20300
31,0.00293255131964809384,1030,1000,FOOT,20236843,69800
21,0.00793650793650793651,1610,1600,FOOT,20167525,32970
31,0.00303030303030303030,1330,1300,FOOT,10076197,43500
44,0.00462962962962962963,1020,1000,FOOT,20073285,47400
11,0.01265822784810126582,1570,1600,FOOT,10035800,19890
29,0.00628930817610062893,8270,8300,TRAIN,10039352,17470
75,0.00354609929078014184,3390,3400,TRAM,20231076,48700
29,0.00476190476190476190,7980,8000,TRAIN,20282025,83500
26,0.00352112676056338028,1560,1600,FOOT,20274164,121200
4,0.00291545189504373178,450,450,FOOT,20265758,31860
21,0.00377358490566037736,1830,1800,BIKE,20095052,17900
77,0.00302114803625377644,650,650,FOOT,10006377,62850
73,0.00287356321839080460,1860,1900,BIKE,10076511,71100
29,0.00287356321839080460,1860,1900,BIKE,10076511,71100
25,0.00943396226415094340,2890,2900,FOOT,10041103,35100
31,0.00316455696202531646,970,970,FOOT,10081241,13470
29,0.00462962962962962963,8470,8500,TRAIN,20089448,9210
31,0.00303951367781155015,1290,1300,FOOT,10026222,37490
21,0.00377358490566037736,230,230,FOOT,20095052,20960
31,0.00276243093922651934,960,960,FOOT,10022869,113160
49,0.00366300366300366300,2190,2200,FOOT,10044008,49370
25,0.00311526479750778816,2460,2500,TRAM,20278519,67500
26,0.00352112676056338028,3400,3400,FOOT,20274164,128500
53,0.00641025641025641026,820,820,FOOT,10041837,31020
69,0.00338983050847457627,520,520,FOOT,20018196,28160
29,0.00398406374501992032,2050,2000,FOOT,20273599,39300
31,0.00934579439252336449,1230,1200,FOOT,20191433,37200
53,0.00497512437810945274,10700,10700,TRAIN,20163766,11150
73,0.00390625000000000000,10830,10800,TRAIN,20134006,15050
29,0.00390625000000000000,10830,10800,TRAIN,20134006,15050
11,0.00283286118980169972,1470,1500,FOOT,20081982,72200
26,0.00425531914893617021,3810,3800,CAR,10085569,39000
47,0.00357142857142857143,1900,1900,FOOT,20183734,23100
43,0.00531914893617021277,980,980,FOOT,20133816,17640
69,0.00800000000000000000,1500,1500,FOOT,20091749,89600
44,0.00304878048780487805,880,880,FOOT,20238441,48380
26,0.00308641975308641975,1320,1300,FOOT,10004515,77850
41,0.00287356321839080460,1060,1100,FOOT,20074362,59900
59,0.00636942675159235669,1070,1100,FOOT,10037056,10700
75,0.00671140939597315436,4540,4500,TRAM,10013688,18900
17,0.00465116279069767442,240,240,FOOT,20063309,25770
71,0.00310559006211180124,410,410,FOOT,20110232,53210
31,0.00653594771241830065,1040,1000,FOOT,20223167,175800
31,0.00934579439252336449,1200,1200,FOOT,20191433,42030
31,0.00283286118980169972,1200,1200,FOOT,20246323,126180
51,0.00552486187845303867,15690,15700,CAR,10081318,58700
29,0.00282485875706214689,8610,8600,TRAIN,10005386,18230
31,0.00819672131147540984,350,350,FOOT,20099537,111020
75,0.00671140939597315436,4270,4300,TRAM,10013688,19340
